"","1-1","1-2","1-3","1-4","1-5","1-6","1-7","1-8","1-9","1-10","1-11","1-12","1-13","1-14","1-15","1-16","1-17","1-18","1-19","1-20","2-1","2-2","2-3","2-4","2-5","2-6","2-7","2-8","2-9","2-10","2-11","2-12","2-13","2-14","2-15","2-16","2-17","2-18","2-19","2-20"
"backgnd20",0,0,0,0,0,0,0,2.21551888378655,0,0,0,0,3.64406691979875,0,0,0,0,0,0,0,0,0,0,0,0,3.92497438144852,0,0,0,2.06626472275541,3.51152551700849,0,3.76091698264216,0,0,0,0,0,3.22387597505165,0
"backgnd21",5.2846583006194,2.98908632907176,0,0,0,4.580176996467,2.31785294434862,0,0,2.27301135609535,3.46169810556158,0,0,0,4.41463292970335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36085991177772,0,0,0,0,4.23364199814259,0,0,4.42942070579613,0,3.63254686095202
"backgnd22",0,0,0,2.07276065140194,3.41768173638838,0,0,0,0,0,0,0,0,3.07226577522605,0,0,0,0,0,3.60658283778746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"backgnd23",0,0,0,3.55748382673589,0,3.15851687781018,4.28000312217789,0,0,4.27507083277644,0,0,0,0,0,0,0,0,3.26732915700459,0,2.17808110454932,0,0,0,0,2.29870056782821,0,0,0,0,0,3.47847388047588,3.18419295263003,0,0,0,4.99415745706832,3.41482722838073,0,0
"backgnd24",0,0,3.88932094323904,2.58079950576901,0,0,3.89791191686438,0,5.31360403341875,0,4.29722178478603,0,0,0,0,0,5.93399555455116,3.38894386676498,0,0,0,0,0,0,0,0,0,0,3.67950075126001,2.85539241917874,3.17211169460228,0,0,0,0,0,0,0,0,0
"backgnd25",0,0,0,0,0,0,5.61952452112765,0,0,0,2.48822855486175,3.36871912881419,0,0,0,0,0,3.42025375102547,0,0,0,0,2.99923404955133,0,0,0,3.38521187976143,0,0,3.12198419234396,0,4.34448477087583,1.70705311659934,0,0,3.53284536995876,0,3.47880780592452,2.26066880989845,0
"backgnd26",3.81529479547902,0,0,0,0,0,0,0,4.24957097698602,0,0,0,3.84845660902153,2.3620800802567,3.67174047431819,0,0,0,0,4.59023402962473,0,0,0,0,0,0,0,0,0,0,6.04593377259187,0,0,0,0,0,4.02799772994163,0,1.46658328661028,0
"backgnd27",3.95063630164551,0,2.50349340484262,0,2.38889986740818,5.06055183350697,0,3.16160415270292,0,4.76660832121152,4.8765694926506,0,0,3.26131241074814,0,0,3.02581216216335,4.42486438341579,0,0,0,2.38698818065813,0,0,0,0,0,0,0,3.27774664323578,0,0,0,0,0,0,0,0,0,0
"backgnd28",0,0,0,0,0,0,5.42044387386714,0,3.95760468347024,0,0,5.09650380084847,3.68388674713477,0,0,0,0,0,0,0,0,3.42748200567582,3.48709008670784,0,0,0,3.35710731232279,0,2.75310069864492,0,2.32501836300681,0,0,0,4.17602846325214,2.45047748746028,4.20500937014139,0,3.79798961213861,0
"backgnd29",3.01610651049214,0,0,0,4.00483487741954,0,0,5.15671091099568,0,4.08712085576277,0,0,3.80884928009953,0,2.55424137165497,0,0,3.86026811123828,4.8445038150158,0,0,4.45780530128593,0,0,0,0,0,0,1.69713120104516,0,3.14378239234206,0,0,0,1.61881975256052,3.40556293864895,5.09895980941174,3.12735954675682,1.77895224212625,0
"backgnd30",1.35721582940911,3.87953575994775,0,3.69709930221687,3.67961375237688,4.20835817189616,1.30341346735486,0,0,3.60791212865639,0,4.41945754848597,0,0,0,0,0,3.61973587751595,5.28768340579866,0,0,0,0,0,0,3.15616528227635,0,0,0,0,0,0,0,0,0,0,4.3317017814624,0,4.01643680990258,0
"backgnd31",4.13357602603642,2.90832075065161,0,0,0,0,0,4.16544660425813,0,0,3.9838709427179,0,0,0,4.23717424987534,0,0,0,0,0,0,0,0,0,0,5.12826098096034,0,0,0,0,0,3.74817629030892,0,0,0,0,0,0,5.08139134035909,0
"backgnd32",3.52818222447001,4.57012373755512,2.82860757814316,0,3.65463136824839,4.40305747068608,0,0,0,0,3.84950999755738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59064675350885,0,3.52119213308635,1.82629858882431,0,0,0,0,4.09022608035007,0
"backgnd33",3.92329993453307,0,0,0,0,2.85109940243913,3.68481047295249,0,0,0,0,0,0,3.15663751844223,0,2.27103384027488,3.98343812626807,2.90154975565753,3.64973650037376,0,0,4.74929401329134,0,3.5307731297163,0,0,0,1.60533959558371,0,0,2.99742427618624,0,0,0,0,0,4.75503789639204,0,2.80981220842478,0
"backgnd34",0,0,0,0,0,0,0,0,0,3.00093232919651,0,0,0,0,0,3.15852127277812,0,0,6.68415550170407,3.20278736896665,0,3.13751716742946,0,0,0,0,0,0,0,0,0,0,0,0,2.73885385092214,0,5.54573557915409,0,0,3.36336785697094
"backgnd35",0,0,0,0,0,0,0,0,5.39326762058381,0,0,2.88445318068761,0,3.74331296665938,0,5.16755786049417,0,0,0,3.75333629527567,0,0,0,0,0,0,0,3.72256183150725,0,0,0,4.26442265101474,0,1.33163982309484,0,4.80682328225012,0,0,0,0
"backgnd36",0,0,3.99283115576743,2.57360983339809,0,0,0,0,0,0,0,0,0,1.43342786343726,0,0,0,0,0,0,0,0,0,3.15699796451533,0,0,0,0,0,0,0,3.86022337096826,0,0,0,0,0,0,0,0
"backgnd37",3.60877886641596,0,3.93978611442232,0,2.15133268751348,0,0,3.17056762342755,0,2.9168573322541,0,0,0,0,4.26373794189542,4.42813946624933,0,2.07120414438435,0,0,0,0,0,0,0,1.36310899777849,0,0,0,0,0,0,0,4.11395063322608,0,3.52266577904258,0,0,3.20997755066935,0
"backgnd38",0,0,0,0,0,0,0,0,0,0,0,0,0,2.82514787782085,3.59266742171792,0,0,0,0,0,0,3.11029985907696,0,0,0,1.40936798928918,0,0,0,0,0,0,0,0,0,3.42819627511627,0,2.97352787055455,0,0
"backgnd39",0,0,0,0,0,3.70789549958198,0,0,4.60000926080673,3.58863443796011,0,3.58448475314268,0,0,0,0,0,0,0,0,2.60441018429204,0,3.35256134896762,0,0,4.86295583209229,0,0,0,0,0,2.83001442074463,0,0,0,0,0,0,4.14478209510718,3.63839323318962
"backgnd40",0,3.37129468423026,0,0,0,0,0,3.37017129445602,0,3.54733162286201,1.59467027193518,0,0,3.64143094252598,0,0,0,0,0,2.78065806600147,4.71697611908108,0,3.80731588251661,0,0,0,0,0,0,0,0,0,0,5.50537049204825,0,1.75408064571909,0,0,3.34044432236428,0
"backgnd41",0,0,0,0,0,4.92149312881702,0,0,0,0,0,0,3.552218722287,4.88581592694144,0,0,0,4.02517727213507,0,0,0,4.64878693246106,3.09890301481836,0,0,0,2.41207509574574,0,4.08251318615327,3.494278589306,0,0,0,0,0,0,0,0,3.05452289211529,1.69570158253886
"backgnd42",0,0,0,0,0,0,0,0,2.81459702330812,3.53609717539122,0,0,0,4.51561198868955,0,0,0,3.87623445370561,0,0,0,0,0,0,4.5685325554644,0,0,0,0,0,0,3.53015052054449,0,0,0,0,2.80339414705151,2.61017534888267,4.01591617579536,2.87031016309843
"backgnd43",0,0,3.97077613081349,0,0,0,2.75085322357265,0,3.49419192598069,0,0,3.28176242726063,0,0,0,0,0,0,0,0,0,0,4.24903598011793,0,4.17993910020723,4.16560001013849,3.56237329307687,0,4.6471939530584,3.122016375897,0,0,0,0,0,0,2.13034150170223,0,0,0
"backgnd44",2.61933233304126,0,0,2.90194133883967,0,0,0,3.41473582838946,0,3.38269287244502,0,0,3.78063338006224,0,3.6495331314448,0,0,4.08678401988288,4.27962822754994,3.27767187313412,0,4.22953513161796,2.65318622397581,0,3.48399024492082,0,0,0,0,0,0,3.84859090931981,0,3.3403364523697,0,0,0,0,0,0
"backgnd45",0,0,0,0,3.57286628000217,0,0,0,0,0,0,0,4.7959288044256,0,0,0,0,0,0,3.79489637447399,4.45354759533199,0,0,0,0,0,0,0,0,3.25108043319378,0,0,3.30282100979468,0,0,0,4.27138849733691,0,0,0
"backgnd46",0,0,4.35785780528053,2.7015809988683,3.86156141702182,0,0,0,0,0,1.8114520764237,0,0,0,0,2.75620630465146,0,0,0,0,0,0,0,0,0,0,0,4.67586420552531,4.39886017481682,0,0,0,0,0,0,0,0,0,0,0
"backgnd47",0,0,0,0,2.81916249398082,0,0,0,0,0,0,0,0,0,0,2.21694402780068,0,4.76005594058445,0,3.93275919282283,0,2.61796899121323,0,0,0,3.2795331217888,0,0,1.96473985250503,0,0,0,2.15322795058296,0,0,0,0,0,0,0
"backgnd48",0,5.34167812744734,0,4.57269832785922,0,2.35785044464403,0,0,0,0,0,0,0,2.37543801812557,0,0,3.44890679818751,0,0,0,0,3.2415661734798,2.11502940697221,0,0,2.34452706984751,0,4.11771297069795,0,4.3931556564743,0,0,0,4.93451307979533,0,0,3.01374428629338,0,0,0
"backgnd49",0,0,4.80963695977048,0,0,0,2.89211362770704,0,0,0,0,1.81212283514888,0,0,0,0,2.58722472380098,0,0,0,0,0,0,0,0,3.46599171001002,0,0,5.77600780857187,0,0,0,0,3.37640818945314,0,2.37493781252729,0,4.17900392503463,0,0
"backgnd50",0,4.69548209562329,2.47730753668381,3.19709506714012,0,0,0,3.63420742685723,0,0,2.65778549198247,0,0,0,4.7500003330343,0,0,3.84363634764944,0,0,0,0,0,0,0,3.55342360266303,3.37932052575831,0,4.18633377549656,4.54685173078335,0,4.13675097873702,0,0,0,0,3.61524982015658,0,0,0
"backgnd51",0,0,0,0,0,0,0,0,0,0,5.21334787160244,0,3.88077596007429,0,2.99252948958412,0,0,0,0,0,3.35512344182745,0,0,0,0,0,0,0,0,0,0,0,3.75405483033759,0,3.28197553465709,3.26163951342332,3.53501903130576,0,0,3.56245462479274
"backgnd52",4.27770803999619,0,0,0,0,0,4.52384489610611,0,0,0,0,3.77509857965994,0,0,0,0,4.04423779462413,4.13587855205528,0,0,0,0,1.69902438058592,0,0,0,0,0,0,0,4.8910427988628,0,0,0,0,0,0,3.03059347245857,0,3.94730411500364
"backgnd53",0,0,0,3.63705940451134,0,0,0,4.03489588169021,6.88854038157676,1.09919662206305,0,0,3.40438878576073,0,0,0,0,0,0,0,0,0,0,1.7626357588945,0,4.15457093569554,0,0,2.44936064387508,3.40406951787212,2.51494442580821,0,0,0,0,3.34460422020729,0,0,0,3.67860971779144
"backgnd54",0,0,0,0,0,0,3.3056382942212,0,0,0,0,0,2.57268073528757,0,0,0,0,0,0,3.38729252557389,0,0,0,0,4.79008035331348,2.37897783688355,0,0,0,4.34948909824468,0,0,0,3.50339382952895,0,0,0,0,0,0
"backgnd55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78630162566757,0,0,3.16443235416535,2.65892792076488,2.82533039070599,0,0,0,0,0,0,0,4.53449419228704,0,0,0,3.52394491969735,0
"backgnd56",0,0,4.5948873488415,0,0,0,0,1.41220001737758,3.43337926242068,0,0,0,0,4.66763143630449,0,0,0,0,0,4.30325377219985,0,0,0,0,0,0,0,0,0,0,3.79669802502243,0,2.08732266753923,0,0,0,0,5.06029108405918,0,2.72782203550268
"backgnd57",0,0,0,0,0,0,0,0,4.67534352018322,0,2.13528124046363,0,0,0,0,0,2.97825847664963,0,2.76423981424751,0,0,0,0,0,0,2.9120070895694,0,3.26761804485899,0,0,0,0,0,4.71321897034723,0,0,1.90273061326258,0,0,0
"backgnd58",0,0,0,2.59613481193454,0,3.1690216095235,0,1.43048799773789,0,0,0,3.3128240862666,0,0,0,0,0,0,0,0,0,0,0,3.61952995312309,0,0,5.93498787918387,0,0,0,1.83310547338586,0,0,3.5246214999125,0,0,0,0,2.9812615830411,0
"backgnd59",5.52954945869878,3.94819217435096,0,0,4.25116459257455,0,0,0,0,0,0,0,0,3.97040460765836,0,3.28910415768071,0,3.11719279237077,0,5.3066447690188,0,0,0,0,0,0,3.46278150896168,0,0,0,0,0,0,0,0,2.64922601758207,0,0,4.10405982334028,3.96255199621414
"backgnd60",0,0,0,0,0,0,0,0,2.0858773930148,0,0,0,1.49856011862092,0,0,0,0,1.08303899951437,0,0,3.96852260852131,0,0,3.55867712326641,3.61933127970439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58081840452754
"backgnd61",0,0,0,0,0,0,2.67893804427463,0,3.51091739808718,0,0,0,0,0,3.06759426586229,0,0,0,0,0,0,0,3.45078941420427,0,0,0,3.50545924498147,0,0,3.79059621637062,4.04084671419746,0,0,3.75308631271051,2.47818266291721,0,0,0,0,0
"backgnd62",2.34502169558114,0,0,0,0,1.88864817486537,5.06113502169637,0,0,3.52605114092772,0,5.13018953435518,0,0,3.85320272540034,0,0,0,4.11860742518761,0,0,0,0,0,1.72687293538602,3.08531805303523,0,3.99908654286948,3.84971945650164,0,2.99026037227664,3.85771853659321,0,4.17622240709879,0,0,0,0,4.05434159612094,0
"backgnd63",0,0,0,0,4.43478120821488,0,0,0,0,0,0,0,4.84978309929229,0,0,0,0,0,0,0,2.26880325039697,0,0,3.28072560247218,0,0,3.6192443950652,0,0,0,2.93793796217987,0,0,0,2.60404892433002,0,2.93007563352459,0,4.84082816368159,0
"backgnd64",2.58111044598484,0,3.86785104538409,3.04160835787304,0,0,0,0,4.26930814953012,0,4.2075324358913,4.28938459215163,0,0,0,0,0,0,0,1.66313228087492,4.14717656731244,1.54660255734535,0,0,3.58018543799663,0,0,3.78901133428083,3.27084005508449,4.09482595409451,0,0,0,0,0,4.33123208330788,0,0,0,0
"backgnd65",2.50284172399088,3.17558785678246,3.95719416380757,0,0,5.89573461534189,3.33959449357001,3.37726172964522,0,0,0,5.31841526988322,3.60523352365301,0,0,2.17288542611682,3.21045990029589,0,0,0,2.81529360843666,0,0,0,0,3.69703477274938,0,0,4.76748731796908,2.56450940231771,0,0,0,0,0,0,0,4.65298020358138,0,0
"backgnd66",0,2.36446806190275,0,0,0,0,0,0,4.54118086004548,0,0,4.93295232249704,0,0,0,0,0,0,2.79522690494008,0,0,0,1.99257404491716,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77855959014355,0,4.56925059138467,0
"backgnd67",0,0,0,0,0,0,2.90260340748326,0,0,1.86467784800991,0,0,0,0,0,0,3.79882063208125,0,2.51586351752533,0,3.64491063636318,0,0,0,0,0,2.90185794759764,5.20988355974597,2.84358259521602,0,0,0,0,1.95305238542614,3.78658104731226,0,3.22920734119501,0,0,4.62025671547161
"backgnd68",0,0,0,0,2.18225774684386,0,0,0,0,0,0,4.82824428052952,0,0,0,4.05267437288203,0,0,0,2.12328771021583,4.67930208162001,0,3.53593985691525,0,0,0,0,0,4.41095418096373,0,2.31925624994371,0,0,0,0,4.11646421986639,2.43259529061968,0,4.2925154221252,0
"backgnd69",0,0,0,0,2.47675877562199,0,0,0,0,3.59851424717894,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82892972272477,0,2.8606931342147,0,3.94014916074756,0,0,0,0,0,0,0,0,3.68181196769307,2.08895443611261,0,0
"backgnd70",0,3.53655288216001,0,0,3.3993593445179,0,0,3.31148446422648,5.02475192873689,0,0,0,0,0,3.10842542485548,0,4.41228979183962,0,0,4.83477698237578,3.13348111088929,0,0,3.02456702291883,0,0,0,0,2.67163682404204,0,0,0,4.24613662045063,0,0,0,0,0,0,0
"backgnd71",0,0,0,0,0,0,0,0,0,1.71200094656778,0,0,2.00522224116121,0,0,3.9076770991637,0,0,0,0,3.67885184919552,3.05962543752634,0,3.78206962806722,0,0,3.16898891032612,0,0,0,0,3.34429268949019,1.87797580419199,0,0,3.96934578603896,0,2.68397871760086,0,0
"backgnd72",0,0,4.34015628616685,0,2.98698347952907,0,0,0,3.04204613659104,2.81846241105431,0,0,3.61642226725491,0,0,0,0,0,0,3.53117130682557,0,0,0,4.00962581327417,0,3.32357510384508,0,0,2.94640604554682,0,5.21778980647455,2.15635610123767,0,2.77807707652818,0,0,3.02556100963881,0,0,0
"backgnd73",2.70810605499837,0,0,0,0,0,0,0,3.41124226456893,2.56514913704141,0,0,0,2.41872146524733,0,3.44483733826351,0,0,5.42275042282566,0,0,3.44426786137637,0,3.13915619088341,4.17077765083522,2.65193874026927,0,0,0,0,0,0,0,0,0,3.19146795030635,2.84579417562879,0,2.12498085280481,0
"backgnd74",0,0,0,5.69491378124239,3.50870083705009,0,2.80127733333067,3.79862860344259,2.83506018290924,0,0,0,0,0,0,0,0,3.3340952524858,4.38885822457808,0,0,0,2.98314408780652,4.30539613865063,0,0,4.74593743360205,4.06509826606394,0,0,0,0,1.78888525842836,0,2.39840823699493,0,0,0,0,2.82376050933042
"backgnd75",0,0,0,4.70419314222135,3.12171225621099,0,0,0,0,3.34137444701115,0,0,0,0,0,0,0,0,0,0,3.61359974812661,0,0,0,0,0,0,0,2.85687184005865,0,0,0,0,0,0,0,0,0,0,0
"backgnd76",0,0,0,0,2.05852280769939,0,3.86382182046638,4.58103479515244,0,0,3.33047560306122,0,0,2.66774997273422,2.4205425855778,0,2.0789337338104,0,2.94496480601539,3.2732847038154,3.86173428377933,3.0557939347929,0,0,0,0,4.54799747377034,0,3.70529809298715,0,0,0,0,2.8412467506903,0,1.97201214800606,0,0,0,0
"backgnd77",0,0,3.33910192502671,0,0,0,0,4.0018217578643,0,2.56107981395354,0,5.35463410970881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66077373025333
"backgnd78",0,4.70391183434657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39296541188466,0,0,0,0,2.58969063341765,0,0,0,4.22429135442876,5.03492360742267,0,0,0,2.93029024949488,0,0,0,0,0,3.80446396501543,2.83494758594504,0,0
"backgnd79",0,0,4.41334228680223,0,3.36022909802045,0,0,0,0,0,0,0,0,3.63916620216917,0,4.50097177886015,0,3.38706391345827,2.63095753352517,0,0,3.60273893697116,0,4.45949174530015,0,0,4.49936092323792,0,0,3.15506689557258,0,1.97814664064221,0,3.13690183806774,0,0,0,0,0,0
"backgnd80",0,3.18125258136192,0,0,0,0,0,0,0,0,4.29335107091543,0,0,0,0,0,0,6.8148632755472,0,0,0,2.2432455307147,0,0,0,0,4.06040940530044,2.80686867251781,2.95065738794184,0,3.29417433732895,0,0,0,0,5.34076179739702,0,0,3.46875085381713,0
"backgnd81",0,0,0,0,0,0,0,0,4.39073495592502,0,0,3.8370495851819,3.21682612068027,0,3.6669798193091,0,3.66029766020267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45033833440661,0,3.31270024501048,0,4.181746996057,0,3.79825801821351,0,3.31769668663746
"backgnd82",2.42473145785722,0,2.2834076126637,0,0,0,0,0,0,3.74312877811492,2.64945960512899,0,0,3.20940935210859,0,0,0,0,4.21617537250658,0,2.094585034724,3.08697564072489,0,0,0,0,2.40447467124253,0,0,0,0,0,0,0,0,3.74251055015417,3.8481624800811,0,0,0
"backgnd83",0,0,0,0,0,3.2032156503279,3.50014802939904,0,0,0,0,0,0,0,0,0,0,0,2.2324620013479,3.03856926900502,0,0,0,0,0,0,0,0,3.99651368891766,0,0,0,0,0,1.78704128228666,0,0,4.68482231569569,0,0
"backgnd84",0,0,0,3.68281508327388,0,3.6078292343131,2.56864760813818,0,4.54786658749161,0,3.38928890454103,3.85779683792641,0,3.14521080531892,0,0,0,0,3.5113917161994,3.37987465372817,3.27989814783326,0,0,0,0,0,0,0,0,4.86080168881962,0,0,0,0,0,0,0,0,0,0
"backgnd85",2.30440939688954,0,2.60213516205343,0,0,0,0,0,0,2.94788044679482,0,0,0,3.43936505517767,2.94363253724022,3.75474721740602,0,0,1.91952845902729,0,0,0,0,4.20813855794655,3.0384699575023,0,0,4.47453909111185,0,0,0,0,0,2.80190430639081,3.40804611855628,0,0,0,2.31944216467933,0
"backgnd86",1.19049329411093,0,3.31545590014537,0,3.29986850465426,0,0,0,0,3.86940336414094,0,0,0,0,4.53464511020205,0,3.80369540642017,0,2.550419018047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"backgnd87",0,0,3.41209546037045,0,2.64943984937772,2.18697489932835,0,0,3.92499389054356,0,4.19273519478315,0,0,0,0,4.0939498307799,0,0,0,1.81342005015325,0,0,5.07673219045517,0,4.48296307769751,0,0,0,0,0,2.89784351506324,0,2.81844817280537,2.57953320662022,0,0,0,4.09748392135502,0,0
"backgnd88",0,0,0,0,0,0,0,0,0,0,0,0,3.20281319707735,0,0,0,3.49611142503006,2.86477876108671,3.22568510504708,0,3.50710696358133,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62527614198656,0,3.5591602978265,2.90742433611118,0,0
"backgnd89",0,3.24933788383457,0,0,0,0,5.45521596505507,0,0,0,0,2.22108906726481,3.2495166712481,0,0,2.96379754405104,0,0,0,0,0,0,0,0,0,0,0,0,2.65035683784203,0,0,0,0,0,3.27778194555114,0,3.73339133170775,0,2.88919412624185,0
"backgnd90",0,0,0,2.99189839621453,0,0,0,0,0,0,4.88917555679552,1.73709398151496,0,0,0,0,0,0,0,0,4.33308217827648,0,0,3.39383770817486,4.52443310356151,2.67706395751674,0,0,0,3.30573907336118,0,0,2.62788346620681,4.54705425854901,2.8041890359365,0,0,3.4240022022652,0,0
"backgnd91",0,0,0,0,0,0,0,2.18925046898714,0,0,0,4.9797019133377,0,0,0,0,4.52398968448168,0,0,0,0,0,0,0,3.93298176161434,3.87553970947372,0,0,0,0,0,0,0,0,0,0,4.07981568054175,0,0,0
"backgnd92",0,0,4.67924663849726,0,0,4.92044525272904,0,3.95884120977651,0,0,0,4.67094979413763,0,0,0,0,0,0,2.94305768947033,0,6.17787302718086,0,3.67038936162017,0,1.8227507657127,0,0,0,0,0,0,3.68951834874707,0,4.90272472136116,2.28867020236442,0,0,0,0,0
